ts,num_detections,latency_ms
2025-09-10T09:55:40.214511,0,19
2025-09-10T09:55:40.294168,0,24
2025-09-10T09:55:40.376501,0,23
2025-09-10T09:55:40.459833,0,25
2025-09-10T09:55:40.530777,0,17
2025-09-10T09:55:40.605818,0,20
2025-09-10T09:55:40.679187,0,19
2025-09-10T09:55:40.749479,0,16
2025-09-10T09:55:40.820998,0,16
2025-09-10T09:55:40.890889,0,16
2025-09-10T09:55:40.960423,0,15
2025-09-10T09:55:41.036471,0,22
2025-09-10T09:55:41.112683,0,21
2025-09-10T09:55:41.192693,0,24
2025-09-10T09:55:41.271889,0,23
2025-09-10T09:55:41.351373,0,22
2025-09-10T09:55:41.429365,0,23
2025-09-10T09:55:41.513884,0,28
2025-09-10T09:55:41.591420,0,17
2025-09-10T09:55:41.675843,0,30
2025-09-10T09:55:41.756118,0,20
2025-09-10T09:55:41.836719,0,24
2025-09-10T09:55:41.918152,0,25
2025-09-10T09:55:42.003156,0,27
2025-09-10T09:55:42.084297,0,25
2025-09-10T09:55:42.174589,0,32
2025-09-10T09:55:42.270811,0,34
2025-09-10T09:55:42.363925,0,31
2025-09-10T09:55:42.455723,0,33
2025-09-10T09:55:42.544892,0,32
2025-09-10T09:55:42.636344,0,31
2025-09-10T09:55:42.728303,0,32
2025-09-10T09:55:42.819085,0,31
2025-09-10T09:55:42.915240,0,34
2025-09-10T09:55:43.013392,0,37
2025-09-10T09:55:43.106766,0,32
2025-09-10T09:55:43.196077,0,33
2025-09-10T09:55:43.291170,0,36
2025-09-10T09:55:43.382770,0,29
2025-09-10T09:55:43.471214,0,29
2025-09-10T09:55:43.569586,0,35
2025-09-10T09:55:43.659749,0,29
2025-09-10T09:55:43.753715,0,35
2025-09-10T09:55:43.845548,0,34
2025-09-10T09:55:43.923682,0,20
2025-09-10T09:55:44.006162,0,25
2025-09-10T09:55:44.087809,0,25
2025-09-10T09:55:44.167738,0,22
2025-09-10T09:55:44.251946,0,27
2025-09-10T09:55:44.341175,0,32
2025-09-10T09:55:44.422615,0,22
2025-09-10T09:55:44.505032,0,26
2025-09-10T09:55:44.584475,0,22
2025-09-10T09:55:44.673788,0,24
2025-09-10T09:55:44.759003,0,28
2025-09-10T09:55:44.840998,0,22
2025-09-10T09:55:44.918417,0,20
2025-09-10T09:55:45.137520,0,28
2025-09-10T09:55:45.222190,0,24
2025-09-10T09:55:45.559923,0,18
2025-09-10T09:55:45.769510,0,30
2025-09-10T09:55:45.850052,0,21
2025-09-10T09:55:45.935466,0,31
2025-09-10T09:55:46.020261,0,31
2025-09-10T09:55:46.099439,0,24
2025-09-10T09:55:46.177208,0,23
2025-09-10T09:55:46.249791,0,17
2025-09-10T09:55:46.338016,0,30
2025-09-10T09:55:46.415838,0,19
2025-09-10T09:55:46.494603,0,23
2025-09-10T09:55:46.587090,0,36
2025-09-10T09:55:46.671317,0,24
2025-09-10T09:55:46.751441,0,24
2025-09-10T09:55:46.836812,0,28
2025-09-10T09:55:46.922987,0,31
2025-09-10T09:55:47.020989,0,36
2025-09-10T09:55:47.107063,0,31
2025-09-10T09:55:47.188532,0,25
2025-09-10T09:55:47.266628,0,22
2025-09-10T09:55:47.346735,0,25
2025-09-10T09:55:47.423416,0,18
2025-09-10T09:55:47.517886,0,38
2025-09-10T09:55:47.604293,0,27
2025-09-10T09:55:47.683067,0,23
2025-09-10T09:55:47.763367,0,26
2025-09-10T09:55:48.094432,0,30
2025-09-10T09:55:48.166202,0,16
2025-09-10T09:55:48.257597,0,24
2025-09-10T09:55:48.338527,0,24
2025-09-10T09:55:48.421379,0,29
2025-09-10T09:55:48.505161,0,18
2025-09-10T09:55:48.588889,0,22
2025-09-10T09:55:48.677396,0,33
2025-09-10T09:55:48.756561,0,18
2025-09-10T09:55:48.844525,0,26
2025-09-10T09:55:48.936281,0,23
2025-09-10T09:55:49.007872,0,17
2025-09-10T09:55:49.088246,0,17
2025-09-10T09:55:49.176759,0,27
2025-09-10T09:55:49.270602,0,27
2025-09-10T09:55:49.359725,0,23
2025-09-10T09:55:49.451432,0,36
2025-09-10T09:55:49.538105,0,27
2025-09-10T09:55:49.634310,0,29
2025-09-10T09:55:49.720909,0,21
2025-09-10T09:55:49.811411,0,33
2025-09-10T09:55:49.893934,0,22
2025-09-10T09:55:49.983416,0,34
2025-09-10T09:55:50.073155,0,29
2025-09-10T09:55:50.157652,0,19
2025-09-10T09:55:50.245543,0,29
2025-09-10T09:55:50.336616,0,24
